"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Quantity","Description"
"BSS138","ON Semiconductor","BSS138CT-ND","Q1, Q2","2","MOSFET N-CH 50V 220MA SOT-23"
"MS560702BA03-50","TE Connectivity Measurement Specialties","223-1198-1-ND","U1","1","BAROMETRIC PRESSURE SENSOR"
"A000073","Arduino","1050-1041-ND","","1","ARDUINO UNO SMD R3 ATMEGA328"
"61300311121","Wurth Electronics Inc.","732-5316-ND","J1 - J12","12","CONN HEADER VERT 3POS 2.54MM"
"61300611121","Wurth Electronics Inc.","732-5319-ND","P2","1","CONN HEADER VERT 6POS 2.54MM"
"61300811121","Wurth Electronics Inc.","732-5321-ND","P1, P4","2","CONN HEADER VERT 8POS 2.54MM"
"61301011121","Wurth Electronics Inc.","732-2670-ND","P3","1","CONN HEADER VERT 10POS 2.54MM"
"ERJ-3EKF1002V","Panasonic Electronic Components","P10.0KHCT-ND","R1 - R4","4","RES SMD 10K OHM 1% 1/10W 0603"
"169","Adafruit Industries LLC","1528-1076-ND","","12","SERVOMOTOR 5VDC TOWERPRO SG92R"
"GRM21BR61E226ME44L","Murata Electronics North America","490-10749-1-ND","C2, C3","2","CAP CER 22UF 25V X5R 0805"
"GCM188L81H104KA57D","Murata Electronics North America","490-6049-1-ND","C1","1","CAP CER 0.1UF 50V X8L 0603"
"6LF22XWA/B","Panasonic - BSG","P687-ND","","1","BATTERY ALKALINE 9V"
"1770885","Phoenix Contact","277-2079-1-ND","J13 - J17","5","TERM BLK 2POS SIDE ENT 2.5MM PCB"
"232","Keystone Electronics","36-232-ND","","1","BATTERY CONNECT SNAP 9V 4"" LEADS"
"LM1084ISX-3.3/NOPB","Texas Instruments","296-35390-1-ND","U2","1","IC REG LIN 3.3V 5A DDPAK/TO263-3"